filename,label,query,bbc_id,description,n_samples,duration_ms,sample_rate,rms_db,status
buzzer.wav,buzzer,electric buzzer,07012078,Electric buzzer sounded at long and shor,9600,200,48000,-20.0,OK
glass_break.wav,glass_break,glass breaking smashing,07022505,Crash: Window Breaking.,9600,200,48000,-20.0,OK
glass_shatter.wav,glass_shatter,glass shattering window,07065160,Window breaking (5C2),9600,200,48000,-20.0,OK
wood_crack.wav,wood_crack,wood cracking breaking,07029153,Seagulls: Fighting for food,9600,200,48000,-20.0,OK
wood_chop.wav,wood_chop,wood chopping axe,07002323,"Chopping a tree with an axe, some bird s",9600,200,48000,-20.0,OK
metal_clang.wav,metal_clang,metal clanging,07005046,Clanging. (Specially created effect),9600,200,48000,-20.0,OK
metal_scrape.wav,metal_scrape,metal scraping,NHU05002043,Early morning. CU scratching & scraping.,9600,200,48000,-20.0,OK
metal_bang.wav,metal_bang,metal banging,07074136,"Frantic banging and clanging - 1967 (7B,",9600,200,48000,-20.0,OK
chain_rattle.wav,chain_rattle,chain rattling,07037386,Chains rattling.,9600,200,48000,-20.0,OK
rock_fall.wav,rock_fall,rocks falling,07058002,Hammering brick wall - falling debris.,9600,200,48000,-20.0,OK
gravel_crunch.wav,gravel_crunch,gravel crunching,07039246,Man walking on gravel.,9600,200,48000,-20.0,OK
brick_smash.wav,brick_smash,brick smashing,07044086,Brick wall demolition.,9600,200,48000,-20.0,OK
concrete_break.wav,concrete_break,concrete breaking,07039232,"Feet in Clogs, walking on gravel, concre",9600,200,48000,-20.0,OK
explosion_small.wav,explosion_small,small explosion,07037327,Heavy Explosion.,9600,200,48000,-20.0,OK
explosion_large.wav,explosion_large,large explosion,07022507,"Demolition: Very Loud Explosion, close-u",9600,200,48000,-20.0,OK
gunshot.wav,gunshot,gunshot single,07027156,"Gunfire: Gunshot with Silencer, simulate",9600,200,48000,-20.0,OK
cannon_fire.wav,cannon_fire,cannon firing,07019003,Cannon firing. (Seventeenth Century cann,9600,200,48000,-20.0,OK
firework_rocket.wav,firework_rocket,firework rocket,07019117,Noisy firework display. (Fireworks.),9600,200,48000,-20.0,OK
firework_bang.wav,firework_bang,firework bang,07023355,Explosions: One firework explodes,9600,200,48000,-20.0,OK
whip_crack.wav,whip_crack,whip cracking,07003075,"Performing dogs with whistles, barks and",9600,200,48000,-20.0,OK
balloon_pop.wav,balloon_pop,balloon popping,07074104,"Mighty balloon bursts - 1967 (7D, reproc",9600,200,48000,-20.0,OK
bubble_pop.wav,bubble_pop,bubble popping,NHU10220016,bubble-netting and feeding,9600,200,48000,-20.0,OK
thud_heavy.wav,thud_heavy,heavy thud impact,07022373,Metallic impact crash.,9600,200,48000,-20.0,OK
slap.wav,slap,slap impact,07054042,Metallic impact crash (84F),9600,200,48000,-20.0,OK
punch.wav,punch,punch impact,07005033,Tum punch. (Specially created effect),9600,200,48000,-20.0,OK
sword_clash.wav,sword_clash,sword clashing metal,NHU05100225,Antlers clashing (simulated),9600,200,48000,-20.0,OK
tennis_hit.wav,tennis_hit,tennis ball racket,00008115,Tennis (applause),9600,200,48000,-20.0,OK
golf_swing.wav,golf_swing,golf club hitting ball,07011355,"Golf club bar, evening.",9600,200,48000,-20.0,OK
cricket_bat.wav,cricket_bat,cricket bat hitting ball,07028058,Cricket Match: Bat hitting ball from ump,9600,200,48000,-20.0,OK
football_kick.wav,football_kick,football kicking,07038313,"Person swimming, rhythmic kicking.",9600,200,48000,-20.0,OK
basketball_bounce.wav,basketball_bounce,basketball bouncing,07050204,"Comprehensive School, basketball practic",9600,200,48000,-20.0,OK
bowling_strike.wav,bowling_strike,bowling ball strike pins,07035047,"Ten Pin Bowling, players practising befo",9600,200,48000,-20.0,OK
snooker_shot.wav,snooker_shot,snooker ball hit,07051025,"Croquet, ball hit three times (third hit",9600,200,48000,-20.0,OK
table_tennis.wav,table_tennis,table tennis ping pong,07021052,"Table Tennis, doubles match. (No crowd.)",9600,200,48000,-20.0,OK
badminton_hit.wav,badminton_hit,badminton shuttlecock,07028026,"Badminton: Game in progress, shuttlecock",9600,200,48000,-20.0,OK
boxing_bell.wav,boxing_bell,boxing ring bell,07036125,"Rattle, Ring-a-Bell.",9600,200,48000,-20.0,OK
